,c_bound_S,c_bound_T,c_bound_joint,c_bound_mcallester,c_bound_seeger,dS,dT,eS,eT,joint_bound,nb_per_attribute,nb_tree,prior,rS,rT,risk_bound,voter,zero_one_S,zero_one_T,max-iteration,mu
letter_d_o--c-bound-joint,0.0631688888127854,0.0613949411212714,0.2053864685368305,0.4734517835368833,0.3060031031275743,0.0819548427334174,0.0717288119660464,0.016508336371821,0.0158179032770997,0.1832793007015842,10.0,100.0,0.5,0.0574857577385297,0.051682309260123,0.1999374263668053,1.0,0.015015015015015,0.0176211453744493,,
letter_d_o--c-bound-mcallester,0.0738583884129694,0.0592074811972267,0.2119513501444521,0.4693353320114923,0.307936087953126,0.0815404212293181,0.0686086632751935,0.0190293642000003,0.0152238366864226,0.1886354837815219,10.0,100.0,0.5,0.0597995748146594,0.0495281683240194,0.2022514879881138,1.0,0.0225225225225225,0.013215859030837,,
letter_d_o--c-bound-seeger,0.0689867913802723,0.0631602777803298,0.2201818133223438,0.4577705490901665,0.2975275176811326,0.0633957596332146,0.0554662708119376,0.0174782550648412,0.015946332856844,0.2006809173210266,10.0,100.0,0.5,0.0491761348814485,0.0436794682628128,0.1824453524776322,1.0,0.0135135135135135,0.0176211453744493,,
letter_d_o--cb-boost,0.0588617001756516,0.0682742968673327,0.2235259248481823,0.4908181087841428,0.3245321379759672,0.0817340903328853,0.0733922222129266,0.0154855345217782,0.0175004390860427,0.2038135471939097,10.0,100.0,0.5,0.0563525796882208,0.054196550192506,0.2067740026099785,1.0,0.0135135135135135,0.0220264317180616,,
letter_d_o--mincq,0.0374537331337232,0.0811410354564737,0.999127927356551,1.0,1.0,0.4909965806329027,0.491102556149368,0.1886753938940749,0.1905132230077509,1.0481139045403327,10.0,100.0,0.5,0.4341736842105262,0.436064501082435,1.0409097311894455,1.0,0.003003003003003,0.0220264317180616,,
letter_o_q--bound-joint,0.0823967370095891,0.069076070999684,0.2345540129118587,0.4932013281910827,0.3446749024712171,0.1000034543192067,0.0819213727589772,0.0216070173848324,0.0179047546125645,0.210258200652726,10.0,100.0,0.5,0.0716087445444358,0.0588654409920532,0.2342559841166651,1.0,0.0230061349693251,0.0128755364806866,,
letter_o_q--bound-risk,0.1148256066641224,0.1303731873695589,0.3143810820315418,0.4918795439869987,0.3494778131060659,0.0458277469452323,0.0417337414105323,0.0287438194852407,0.0327472951818913,0.307281789913781,10.0,100.0,0.5,0.0516576929578569,0.0536141658871575,0.2012704126567454,1.0,0.0337423312883435,0.0300429184549356,,
letter_o_q--c-bound-joint,0.0757472698419914,0.0690323073122318,0.2291446455125004,0.4935425453830208,0.3380780468032575,0.0957225017441955,0.0801081511919303,0.0199035229463837,0.017845400957585,0.2057717638317569,10.0,100.0,0.5,0.0677647738184815,0.0578994765535502,0.2267702028552519,1.0,0.0184049079754601,0.0085836909871244,,
letter_o_q--c-bound-mcallester,0.0853510377975786,0.0706259400817131,0.2344485429287811,0.4891131662877696,0.3413638741378292,0.0976653057070104,0.0807611196016353,0.0222180432695032,0.0182410649068345,0.2097942351154703,10.0,100.0,0.5,0.0710506961230084,0.0586216247076522,0.2314567973422178,1.0,0.0260736196319018,0.0171673819742489,,
letter_o_q--c-bound-seeger,0.0777390480509344,0.0770968356422353,0.2389869099107765,0.4924199072551966,0.3318530802894227,0.0807245049978212,0.0713723383854738,0.0199324955711032,0.0195769281134819,0.2178857564537822,10.0,100.0,0.5,0.0602947480700138,0.0552630973062189,0.2121622477413777,1.0,0.0199386503067484,0.0171673819742489,,
